#,Từ / Cụm từ,Chữ Nôm,Giải cấu tạo chữ,Giải nghĩa – Thi pháp,Trích dẫn nguồn (Tiếng Việt),Trích dẫn nguồn (Chữ Nôm)
1,chém cha,𪟂吒,"𪟂 (chém): 刀占 (đao chỉ ý, chiếm chỉ âm*); 吒 (cha): mượn chữ trá, đọc trại cha.","Thán từ dân gian, biểu cảm tức giận, chua chát, mỉa mai – “điểm nổ” cảm xúc.","“Chém cha cái kiếp lấy chồng chung\nKẻ đắp chăn bông kẻ lạnh lùng""\n(Lấy chồng chung)","𪟂吒丐刧𥙩𫯳終\n几撘𧜖葻几汵㳥"
2,om om,音音,"Lặp chữ 音, biểu thanh tượng thanh; đọc trại âm Hán Việt âm → om.","Gợi âm vang, hơi thở, sức sống phồn thực; âm động trong tĩnh.","“Giọt nước hữu tình rơi lõm bõm\nCon đường vô ngạn tối om om”\n(Vịnh hang Cắc–Cớ)","湥渃有情淶𤂺渀\n昆塘無岸最音音"
3,phập phòm,佛𫩓,"佛 (phật): mượn âm; 𫩓: ⿰口凡 (khẩu chỉ ý, phàm chỉ âm*).","Từ láy tượng cảm – nhịp thở, sóng động, phồn thực.","“Kẽ hầm rêu mọc trơ toen miệng\nLuồng gió thông reo vỗ phập phòm.”\n(Vịnh hang Cắc–Cớ)","技𤞻𦼔木諸喧𠰘\n篭𩙋樁嘹撫佛𫩓"
4,lõm bõm,𤂺渀,𤂺: ⿰氵覽 (lãm chỉ âm*). 渀: ⿰氵奔 (bôn chỉ âm*).,"Từ láy tượng thanh – tiếng nước rơi, biểu tượng sinh khí và dục tính.","“Giọt nước hữu tình rơi lõm bõm\nCon đường vô ngạn tối om om” \n(Vịnh hang Cắc–Cớ)","湥渃有情淶𤂺渀\n昆塘無岸最音音"
5,thân em,身㛪,"身: mượn chữ Hán chỉ ý “thân thể”. 㛪: ⿰女奄 (nữ chỉ ý, 奄 / yểm chỉ âm*).",Biểu tượng nữ tính: thân xác + phận người nữ.,"“Thân em thì trắng, phận em tròn,\nBảy nổi ba chìm mấy nước non.”\n(Bánh trôi nước)","身㛪辰𤽸分㛪𧷺\n𠤩浽𠀧沉買渃𡽫"
6,rắn nát,硍湼,"硍: ⿰石艮 (thạch chỉ ý, 艮 / cấn chỉ âm*). 湼: chữ Hán niết (tan, mềm).","Cặp phạm trù “kiên – nhu”, phẩm chất và thân phận.","“Rắn nát mặc dầu tay kẻ nặn,\nMà em vẫn giữ tấm lòng son.”\n(Bánh trôi nước)","硍湼默油𢬣几揑\n𦓡㛪刎𡨹𬌓𢚸𣘈"
7,tấm lòng son,𬌓𢚸𣘈,𬌓: ⿰片心. 𢚸: ⿱心弄. 𣘈: ⿰侖朱.,"Biểu tượng đạo đức, trung trinh vượt lễ giáo.","“Rắn nát mặc dầu tay kẻ nặn,\nMà em vẫn giữ tấm lòng son.”\n(Bánh trôi nước)","硍湼默油𢬣几揑\n𦓡㛪刎𡨹𬌓𢚸𣘈"
8,leo lẻo,𣱾𣱾,"𣱾: ⿰氵了 (thủy chỉ ý, liễu chỉ âm*); lặp để biểu âm thanh liên tiếp.","Giọng lanh lảnh, châm biếm; tiếng cười “chua mà duyên”.","“Cầu trắng phau phau đôi ván ghép,\nNuớc trong leo lẻo một dòng thông!”\n(Giếng nước)","梂𤽸抛抛堆板接\n渃𤄯𣱾𣱾没𣳔通"
9,lún phún,頓噴,Từ mượn Hán ghi âm. 頓 (lún): đọc trại đốn. 噴 (phún): giữ nguyên âm phún.,"Tượng hình – tượng thanh; mô tả chuyển động mềm, sinh khí dâng trào.","“Cỏ gà lún phún leo quanh mép,\nCá giếc le te lách giữa dòng.”\n(Giếng nước)","𦹵𪃿噸噴𨇉觥𠰏\n𩵜𩹹離卑藶𡧲𣳔"
10,tẻo tèo teo,小樵消,"Từ mượn chữ Hán ghi âm, đọc trại “tiểu tiều tiêu”.","Từ láy ba âm – giọng dân gian nhỏ nhắn, hiu hắt, tàn phai.","“Cái kiếp tu hành nặng đá đeo\nVị chi một chút tẻo tèo teo”\n(Vịnh sư hoạch dâm)","丐刼修行𥗾𥒥㧅\n為之没𫵀小樵消"
